id,title,value,region,date,summary
TR-001,Monthly transit ridership (millions),3.2,New York Metro,2025-09-01,Synthetic monthly ridership estimate for New York Metro.
TR-002,Monthly transit ridership (millions),1.4,Los Angeles Metro,2025-09-01,Synthetic monthly ridership estimate for Los Angeles Metro.
TR-003,Monthly transit ridership (millions),1.1,Chicago Metro,2025-09-01,Synthetic monthly ridership estimate for Chicago Metro.
TR-004,Monthly transit ridership (millions),0.9,Washington DC Metro,2025-09-01,Synthetic monthly ridership estimate for Washington DC Metro.
TR-005,Monthly transit ridership (millions),0.8,Boston Metro,2025-09-01,Synthetic monthly ridership estimate for Boston Metro.
TR-006,Monthly transit ridership (millions),0.7,San Francisco Bay Area,2025-09-01,Synthetic monthly ridership estimate for San Francisco Bay Area.
TR-007,Monthly transit ridership (millions),0.6,Philadelphia Metro,2025-09-01,Synthetic monthly ridership estimate for Philadelphia Metro.
TR-008,Monthly transit ridership (millions),0.5,Seattle Metro,2025-09-01,Synthetic monthly ridership estimate for Seattle Metro.
TR-009,Monthly transit ridership (millions),0.4,Denver Metro,2025-09-01,Synthetic monthly ridership estimate for Denver Metro.
TR-010,Monthly transit ridership (millions),0.3,Miami Metro,2025-09-01,Synthetic monthly ridership estimate for Miami Metro.
TR-011,Monthly transit ridership (millions),2.9,New York Metro,2025-10-01,Synthetic monthly ridership estimate for New York Metro.
TR-012,Monthly transit ridership (millions),1.3,Los Angeles Metro,2025-10-01,Synthetic monthly ridership estimate for Los Angeles Metro.
TR-013,Monthly transit ridership (millions),1.0,Chicago Metro,2025-10-01,Synthetic monthly ridership estimate for Chicago Metro.
TR-014,Monthly transit ridership (millions),0.9,Washington DC Metro,2025-10-01,Synthetic monthly ridership estimate for Washington DC Metro.
TR-015,Monthly transit ridership (millions),0.7,Boston Metro,2025-10-01,Synthetic monthly ridership estimate for Boston Metro.
TR-016,Monthly transit ridership (millions),0.6,San Francisco Bay Area,2025-10-01,Synthetic monthly ridership estimate for San Francisco Bay Area.
TR-017,Monthly transit ridership (millions),0.6,Philadelphia Metro,2025-10-01,Synthetic monthly ridership estimate for Philadelphia Metro.
